,input,filtered,denoisedF,denoisedR,merged,nonchim
1,73197,33343,10064,10061,10057,9998
10,79906,40434,18532,18480,18324,18010
100,148124,72661,6617,6617,6555,6555
101,126504,58011,6712,6712,6703,6703
102,123834,59020,6341,6334,6280,6280
103,134525,60417,9286,9285,9174,9174
104,120077,51443,3259,3259,3259,3259
105,88200,45055,9278,9323,9278,9278
106,110190,56475,5948,5941,5828,5828
107,132637,57620,4046,4046,4046,4046
108,114031,51922,3846,3843,3790,3790
109,108362,48946,4942,4942,4909,4908
11,100204,52489,47136,47155,46304,45747
110,110633,50910,5953,6010,5839,5839
111,112485,53252,6936,6943,6935,6935
112,114014,56373,8996,8996,8873,8873
113,96340,49150,3628,3620,3431,3431
114,93496,47295,38207,38174,37465,37096
115,94370,45981,43594,43688,42651,42191
116,129140,58930,36324,36318,35730,35406
117,102322,48870,46690,46686,45702,45161
118,127477,60067,32282,32230,31452,31127
119,111785,50278,40019,40106,39138,38394
12,81434,36574,51453,51559,50461,49714
120,103329,44414,39449,39373,38691,38367
121,112765,50887,31821,31769,31098,30791
122,20079,12895,34534,34439,33715,33329
123,115658,54814,36715,36659,35638,35266
124,70883,20274,42800,42849,41824,41378
125,90914,27896,43623,43535,42313,41882
126,105654,54026,40801,40860,40066,39588
127,87485,29874,44110,44132,43118,42732
128,133305,64546,40078,40137,39174,38726
129,128267,56838,48726,48680,47674,47319
13,89411,41367,31854,31663,31023,30812
130,103311,49464,33464,33175,32555,32235
131,129278,64132,36336,36195,35236,34817
132,75708,20928,40356,40296,39283,38792
133,68246,22384,44711,44584,43631,42879
134,97716,50021,39546,39541,38724,38287
135,93923,42276,39682,39655,38909,38355
136,103885,49246,38998,38899,38088,37714
137,94058,42855,45244,45231,44409,43776
138,110316,57245,28796,28732,28084,27856
139,140327,69546,33603,33601,32868,32479
14,99947,44276,35181,35127,34384,34018
140,64393,31101,38762,38754,37890,37536
141,89327,40877,31481,31313,31250,30932
142,105065,52897,35660,35702,34964,34696
143,103222,45475,39339,39279,38572,38149
144,107949,47659,36648,36591,35909,35610
145,116347,57949,33165,33176,32538,32137
146,94656,40380,40792,40690,39765,39337
147,98633,44993,41898,41865,40972,40297
148,90427,41818,49076,49109,48257,47571
149,35955,16061,36154,36004,35174,34711
15,83293,38242,31294,31300,30517,30061
150,15714,10930,38403,38435,37763,37272
151,14739,10702,30790,30766,30044,29607
152,14794,10386,32359,32301,31623,31276
153,18050,13574,25500,25470,24923,24665
154,8207,5850,31734,31764,31045,30690
155,17375,13228,35843,35816,35106,34762
156,13526,9783,39975,39959,39043,38737
157,8644,6321,34593,34530,33772,33503
158,8735,6174,41100,41062,40314,39838
159,11717,8253,40793,40776,40102,39736
16,110543,46251,37310,37329,36648,36242
160,12319,9131,36652,36645,35887,35547
161,15694,10949,33622,33599,32909,32605
162,16650,12725,45214,45278,44271,43839
163,7548,5435,49227,49184,48414,47904
17,81328,36684,26136,26067,26015,25802
18,91472,42840,47090,47020,46268,45909
19,95314,47642,37302,37259,36474,36042
2,78395,37071,45587,45482,44827,44465
20,89966,38709,39396,39317,38565,38073
21,82073,35224,50780,50820,49847,49340
22,84658,41021,29861,29818,29103,28803
23,108294,48268,31982,31889,30873,28027
24,88247,37783,36785,36740,35880,35479
25,65056,30723,40031,40062,39110,38659
26,64921,33281,42521,42491,41482,41008
27,82917,38249,39342,39350,38603,38220
28,90653,39508,45816,45811,44893,44313
29,88974,42269,42776,42744,42063,41587
3,87816,36614,50398,50355,49223,48646
30,99070,48044,39940,39780,38949,38685
31,78295,37741,47236,47174,46253,45772
32,103146,46732,35565,35296,34245,33961
33,74561,35310,49946,49911,49003,48608
34,69603,31732,43829,43674,42661,42264
35,72005,35283,50970,51002,49995,49580
36,79289,38030,48327,48243,47323,46633
37,92330,39132,42604,42604,41604,41160
38,86075,36440,34817,34771,34037,33526
39,77087,33196,22626,22562,22233,21944
4,88113,39663,41834,41826,40926,40636
40,86094,43151,48263,48222,47360,46858
41,62743,28172,41551,41520,40788,40480
42,61477,30268,37356,37319,36487,36185
43,72191,32559,50121,50076,49342,48960
44,72292,35391,36455,36425,35857,35498
45,72617,30113,37671,37717,36871,36572
46,72634,34245,55618,55569,54658,54037
47,89344,42890,40178,40106,39251,38847
48,77664,33863,80825,80776,79511,78637
49,65444,29607,10064,10061,10057,9998
5,92638,40429,18532,18480,18324,18010
50,77248,33167,6617,6617,6555,6555
51,103810,47383,6712,6712,6703,6703
52,74633,35262,6341,6334,6280,6280
53,61627,25685,9286,9285,9174,9174
54,79637,34574,3259,3259,3259,3259
55,69274,29280,9278,9323,9278,9278
56,70701,32048,5948,5941,5828,5828
57,54503,23164,4046,4046,4046,4046
58,67752,30945,3846,3843,3790,3790
59,74190,32671,4942,4942,4909,4908
6,97113,45125,47136,47155,46304,45747
60,76616,37156,5953,6010,5839,5839
61,92543,39514,6936,6943,6935,6935
62,88928,44347,8996,8996,8873,8873
63,72242,34076,3628,3620,3431,3431
64,82553,37408,38207,38174,37465,37096
65,70805,33690,43594,43688,42651,42191
66,100798,43790,36324,36318,35730,35406
67,107277,49786,46690,46686,45702,45161
68,54513,25987,32282,32230,31452,31127
69,101143,50281,40019,40106,39138,38394
7,88128,37433,51453,51559,50461,49714
70,95565,53253,39449,39373,38691,38367
71,93259,46601,31821,31769,31098,30791
72,101056,46955,34534,34439,33715,33329
73,67060,31190,36715,36659,35638,35266
74,89105,24852,42800,42849,41824,41378
75,81975,35265,43623,43535,42313,41882
76,79762,38612,40801,40860,40066,39588
77,78050,38658,44110,44132,43118,42732
78,84001,39836,40078,40137,39174,38726
79,98540,44971,48726,48680,47674,47319
8,93798,40877,31854,31663,31023,30812
80,104529,48437,33464,33175,32555,32235
81,83945,38615,36336,36195,35236,34817
82,97667,44889,40356,40296,39283,38792
83,75397,40209,44711,44584,43631,42879
84,98740,51243,39546,39541,38724,38287
85,99164,46413,39682,39655,38909,38355
86,108356,54067,38998,38899,38088,37714
87,103280,45547,45244,45231,44409,43776
88,97257,44615,28796,28732,28084,27856
89,80108,35981,33603,33601,32868,32479
9,45826,20070,35181,35127,34384,34018
90,90273,44093,38762,38754,37890,37536
91,104477,47408,31481,31313,31250,30932
92,82644,40083,35660,35702,34964,34696
93,82141,36583,39339,39279,38572,38149
94,99596,48701,36648,36591,35909,35610
95,68318,30139,33165,33176,32538,32137
96,89680,38150,40792,40690,39765,39337
97,107814,49816,41898,41865,40972,40297
98,83492,39357,49076,49109,48257,47571
99,158433,77069,36154,36004,35174,34711
